Term,Year,Internship Site,Title (if applicable),Location,Latitude,Longitude,Notes (if any),Notes on Location
Fall,1998,Amigos de Sian Ka'an,Field Assistant,"Cancún, Mexico",21.1617854,-86.8510468,,
"Summer, Fall, Winter","2006, 2007",Americorps NCCC,AmeriCorp Member,"Charleston, South Carolina",,,,
Fall,1999,Americorps National Servive,Intern,"White Mountains, New Hampshire",,,,
Summer,2020,Americorps / Red Cross,Intern,"Asheville, North Carolina",35.595363,-82.5508407,,
"Summer, Fall",1985,American Youth Hostels,Intern,"Washington, D.C.",38.8950368,-77.0365427,Included Hostels Knapsack journal summer 1985,
Summer,2011,American Shakespeare Center,Production Assistant,"Staunton, Virginia",,,,
Fall,2014,American Red Cross,Volunteer Service Intern,"Portland, Oregon                                                                                                                                                                                                                                                          ",,,,
Summer,2020,American Museum of Natural History,Research Collaborator,"New York, New York",40.741895,-73.989308,,
Fall,1987,American Museum of Natural History,Field Assistant,"New York, New York",,,,
Fall,1982,American Friends Service Committee,Intern,"Cambridge, Massachusetts",42.3655767,-71.1040018,,
Winter,1981,American Friends Service Commiettee,Intern,"Bath, Maine",43.9134656,-69.8141706,,
Fall,2003,Amenons Nos Filles a l'Ecole (ANFE),Intern,"Nouakchott, Mauritania",18.0792379,-15.9780071,,
Winter ,1999,Amazon Conservation Team,Intern,"Arlington, Virginia",,,,
,1986,Alum Information Sheet,,NA,NA,NA,,
Summer,1993,Alternatives Farm,Intern,"Salisbury, New Hampshire",43.391188,-71.744245,NOT SCANNED! Put aside,"cannot find SAILSBURY which was entered, coordinates for SALISBURY"
Summer,1993,Alternative Farms,Farm Apprentice,"Andover, New Hampshire",43.4366616,-71.8197481,2 paintings not scanned.,
Winter,2012,Alpha Capital,Intern,"New York, New York",40.741895,-73.989308,,
Summer,2022,Allied Whale,Assistant Marine Mammal Stranding Coordinator,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2013,Allied Whale,Intern,"Mount Desert Rock, Maine",43.9686255,-68.1280692,,
Summer,2022,Allied Whale,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2014,Allied Whale,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2014,Allied Whale,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1997,Allied Whale,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1989,Allied Whale,Marine Mammal Researcher,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2021,Allied Whale,Research Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1996,Allied Whale,Research Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1982,Allied Whale,Research Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,2012,Allied Whale,Research Assistant,,,,,
Summer,2021,Allied Whale,Intern,"Bar Harbor, Maine",,,,
Winter,2002,Allied Whale,Research Assistant,"Bar Harbor, Maine",,,,
Summer,2022,Allied Whale,Food Systems Coordinator,"Bar Harbor, Maine",,,,
Summer,2013,Allied Whale,Research Assistant,"Mount Desert, Maine",,,,
Summer,2019,Allied Whale,Research Station Manager,"Mount Desert Rock, Maine",,,,
Summer,2019,Allied Whale,Intern,"Bar Harbor, Maine",,,,
Fall,1987,Alliance for Cultural Democracy,Adminstrative Assistant,"Champaign, Illinois",40.1164841,-88.2430932,,
Spring,2019,All Hands and Hearts - Smart Response,Residential On Site Worker,"Yabucoa, Puerto Rico",,,,
Summer,2013,Alice Eno Research Station,Field Researcher,"Great Duck Island, Maine",,,,
Summer,2015,Alice Eno Research Station,Research Internship,Great Duck Island,,,,
Summer,2007,Alice Eno Research Station,Field Biologist,"Great Duck Island, Maine",,,,
Summer,2021,Alice Eno Research Station,Research Assistant,"Great Duck Island, Maine",,,,
Summer,2012,Alice Eno Research Center,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2021,Alice Eno Field Station on Great Duck Island,Research Assistant,"Great Duck Island, Maine",,,,
Summer,2004,Alice Eno Biological Station and Mount Desert Rock,Field Researcher,"Great Duck Island, Maine, Mount Desert Rock Maine",44.1499618,-68.2491876,,coordinates for Great Duck Island
Summer ,2005,Alaskan Sealife Center,Interpretation,"Seward, AK",,,,
Summer,1998,Alaska Sea Life Center,Intern,"Seward, Alaska",60.1013952,-149.4404281,,
NA,NA,Agriculture,NA,"Aroostook County, Cuba",,,,
Spring,2005,AgResearch Limited,Research Assistant,"Mosgiel, New Zealand",,,,
Fall,2010,AFSC Tucson,Intern,"Tucson, Arizona",,,,
Summer,2020,Aelex Law Firm,Intern,"Lagos, Nigeria",6.4550575,3.3941795,,
Winter,2014,Acupuntura Estetica Espacio Salud,Assistant,"Quito, Ecuador",-0.2201641,-78.5123274,,
Summer,2017,Actionaid Senegal / Greener Impact International,Communications Intern,"Dakar, Senegal and Accra, Ghana",14.693425,-17.447938,,"coordinates for Dakar, Senegal"
Summer,2014,Action Aid,Intern,Nepal,,,,
Winter,2007,Action Against Hunger,Intern,"New York, New York",,,,
Summer,2019,Acorn Community/Southern Exposure Seed Exchange,Garden Assistant,"Mineral, Virginia",,,,
Summer,1991,Acadia Wild Gardens,Intern ,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,1997,Acadia Vet,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Spring,2007,Acadia Recording Company,Intern,"Portland, Maine",43.6573515,-70.2584115,,
Summer,1985,Acadia National Park Resource Management,Intern ,"Mount Desert Island, Maine ",,,,
Fall,2010,Acadia National Park,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,With Umaine Orono,
Winter,1992,Acadia National Park,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1986,Acadia National Park,Interpretive Park Naturalist,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1991,Acadia National Park,Research Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2022,Acadia National Park,Wildlife  Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1980,Acadia National Park,Park Aide,"Bar Harbor, Maine",,,,
Spring,2000,Acadia National Park,Environmental Education Intern,"Bar Harbor, Maine",,,,
Summer,1994,Acadia Cruises,Intern,"Bass Harbor, Maine",,,,
Summer,2022,Acadia Aqua Farms,Oyster Farmhand and Shellfish Intern,"Bar Harbor, Maine",,,,
Summer,2021,Acacia House Inn,Intern,"Bar Harbor, Maine",,,,
Winter,2018,ABJR Hodgkins,Carpenters Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer ,2017,Abby Aldrich Rockefeller Garden,Intern,"Seal Harbor, Maine",44.3031358,-68.2402921,,
Winter,2011,Abbe Museum,Intern,"Bar Harbor, Maine",,,,
Summer,2022,A Climate to Thrive,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2021,88 Clementine,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,1981,"""It's About Time"" Book Store and ""Out and About"" Newsletter",Intern,"Seattle, Washington",47.589298,-122.384975,,
Summer ,2019,"Institute for Advanced Study, Berlin and College of the Atlantic",Biochemical Computational Modeling Intern,Online,,,,
Spring,2017,Navicet,Marketing Intern,"Seattle, Washington",,,,
Summer,1992,University of Oregon,teaching intern,"Eugene, Oregon",,,,
Spring,2000,Ejido of San Crisanto,Volunteer of Sustainable Development Project,"Yucatan, Mexico",,,,
Summer,2004,Atlanta YAMC,Scienfic and Clinical Foundation Intern,Atlanta,,,,
Summer,2009,University of Maine,Research Assistant,Maine,,,,
Summer,2009,Bodega Marine Lab,Intern,"Bodega Bay, California",,,,
Summer,2010,Organization for Tropical Studies,Research Intern,Costa Rica,,,,
Winter,2010,Tanglewood 4-H Camp,Photography and Education Intern,"Union, Maine",,,,
Spring,1985,FACET gallery,Intern,Taos,,,,
Summer,1981,Joli Greene,apprentice & teaching assistant,College of the Atlatic,,,,
Fall,2008,Paul Bevins,Student teacher,"Canton, New York",,,,
Summer,2010,Museum of the Rockies ,Field tech/ Musuem prep Assistant,"Bozeman, Montana",,,,
Summer,1986,Darling Center,Lab Intern ,"Walpole, Maine",,,,
Summer,2000,Camp Beach Cliff,Program Director ,"Mount Desert, Maine",,,,
Summer,1983,"Spindler & Chase & Outzen, Inc.",Intern,"Ellsworth, Maine",,,,
Summer,2003,The Enviornmental Schools,TES Naturalist,"Ocean Park, Maine",,,,
Winter,2011,Housing MicroFinance LLC,Research Assistant,"Santa Monica, California",,,,
Spring,1974, Library of the Boston Athenaeum,Apprentice Printer,"Boston, Massachusetts",,,,
Summer,2009,Women in Progress,Fair Trade Intern,"Accra, Ghana",,,,
Summer ,2004,Experimental Sound Studio,Studio Assistant,"Chicago, Illinois ",,,,
Spring,2009,The Comision de Derechos Humanos,Intern,"Yucatan, Mexico",,,,
Summer,2013,Farm and Wildness,Intern ,"Plymouth, Vermont",,,,
Fall,2015,Laboratory for Prospective Anthropology,Research Assistant,Belgium,,,,
Summer,2019,Schooner Mary Day,Deck Hand,"Camden Harbor, Maine",,,,
Summer,2007,Lewis Ginter Botanical Garden,Horticultural Intern ,"Richmond, Virginia",,,,
Summer,2022,Salt Farm Flowers,Flower Farmer/Florist,"Ellsworth, Maine",,,,
Summer,2021,Mount Desert 365,Research Intern,"Northeast Harbour, Maine",,,,
Winter,1993,Conners_ Emerson Schools,Teacher Aide,"Bar Harbor, Maine",,,,
Summer,1997,Camp Lincoln,Camp Counselor,"Keeseville, New York",,,,
Summer,1990,Bimini Biological Field Station,Lemon Shark Researcher,"Miami, Florida",,,,
Summer,2012,Periple en la Demeure,full time intern,"Limerle, Belgium",,,,
Summer,2015,Farm Institute,Farm-based Educator,"West Tisbury, MA",,,,
Spring,2016,Foundation of San Cristano,Volunteer ,"San Cristano, Mexico",,,,
Fall,2015,Chamber of Commerce,Intern ,"Bar Harbor, Maine",,,,
Winter,2017,Tunder Mountain High School,Co-adsiver of TMHS Student Government ,"Juneau, Alaska",,,,
Summer,2016,Fluchtlings Theatre Malaika,Intern,"Zurich, Switzerland",,,,
Spring,2022,MDI Biological Laboratory,Communication Intern ,"Bar Harbor, Maine",,,,
Summer,1991,Women's Foreign Council,Intern,"NY, NY",,,,
Summer,1979,Timber Camp,Student Director ,North eastern New York,,,,
Winter,2000,Mudflat Studio,Assistant to the technical Director,"Somerville, MA",,,,
Summer,2010,MDI Islander,Photographer,"Bar Harbor, Maine",,,,
Spring,1998,The Daisy Greenhouse,Gardener,"Bar Harbor, Maine",,,,
Summer,2017,Maine People's Alliance,Community Organization Intern,"Portland, Maine",,,,
Summer,2017,L.C Bates Museum,Summer Program Educator ,"Hinckley, Maine",,,,
Spring,1993,Connors-Emerson schools,Art Teacher,"Bar Harbor, Maine",,,,
Summer,2022, Portland Pottery Studio,Studio Assistant,"Portland, Maine",,,,
Summer,1990,Maine Whalewatch,Intern ,"Northeast Harbour, Maine",,,,
Summer,2004,The Jackson Laboratory,Technical Support Specialist ,"Bar Harbor, Maine",,,,
Fall,1993,Cosanti Foundation's Construction,Intern,"Cordes Junction, Arizona",,,,
Summer,1988,Maine Whalewatch,Naturalist,"Bar Harbor, Maine",,,,
Summer,2018,University of Cagliari,Assistant ,Italy,,,,
Spring,1983,Hippocrates World Health Organization,teacher ,"Boston, Massachusetts",,,,
Summer,1978,Physical Oceanography,Intern,Deleware,,,,
Winter,2014,Bindrai Institute,Intern,"Jharkhand, India",,,,
Summer,2018,Community Energy Center,Energy Analyst,"Bar Harbor, Maine",,,,
Spring,1982,Whale Center,Intern,"Oakland, California",,,,
Fall,1989,Union of Maine Visual Artists,Volunteer administrative Assistant,Maine,,,,
Winter,2022,Downeast Aids,Intern,"Ellsworth, Maine",,,,
Summer,1980,Department of Defense,crew leader,Alaska,,,,
Summer,2003,The Taita Discovery Center,Assistant Research ,Kenya,,,,
Summer,2020,The Nature Based Education Consortium,Intern,Maine,,,,
Summer,2004,Lake Harvest,Intern,"Kariba, Zimbawe",,,,
Winter,1998,Centro de Investigaciones y Estudios Avansados,Intern,"Yucatan, Mexico",,,,
Summer,1981,"Edwin ""Buddy"" Chase",Intern,"Ellsworth, Maine",,,,
Winter,1999,Smith Road Elementary School,Intern,"Temperance, Michigan",,,,
Summer,2012,Student Conservation Association,Backcountry Intern,"Hawaii Volcanoes National Park, Hawaii",,,,
Summer,2012,Allied Whale,Project Intern,"Mount Desert Rock, Maine",,,,
Winter,2013,Sweet Timber Frames,Intern,"Mount Desert, Maine",,,,
Winter,1984,Bar Harbor Day Care,Intern,"Bar Harbor, Maine",,,,
Summer,1985,Kismat Incorporated,Construction Laborer,"Guilford, Connecticut",,,,
Summer,2019,REU Program in Tropical Ecology and Evolution,REU Student Researcher,"El Yunque National Park, Puerto Rico",,,,
Fall,1999,Outside Images 2,Intern,"Portland, Maine",,,,
Summer,2003,Student Global AIDS Campaign,Intern,Washington D.C.,,,,
Summer,2011,Organic Research Centre,Intern,"West Berkshire, England, UK",,,,
Summer,1981,Design Plus,Intern,"Lewiston, Maine",,,,
Summer,2011,Dominon Newspaper Cooperative,Intern,"Montreal, Quebec",,,,
Fall,1982,Horsepower Farm,Intern,"Blue Hill, Maine",,,,
Summer,2002,Adventures Cross Country,Naturalist for 5th & 8th Grade Educational Tours,"Mill Valley, California",,,,
Summer,1999,Nature Conservancy,Intern,"Sutton Lake, Oregon",,,,
Summer,2018,Bangor YMCA Camp Jordan,Camp Counselor,"Ellsworth, Maine",,,,
Summer,2010,Baxter State Park,Mountain Watch Alpine Plant Survey,"Millinocket, Maine",,,,
Summer,1981,New Hampshire People's Alliance,Intern,"Nashua, New Hampshire",,,,
Fall,1979,The School Around Us,Intern,"Arundel, Maine",,,,
Summer,2010,Allied Whale,Intern,"Bar Harbor, Maine",,,,
Year-round,1980-1982,Volt Energy Services,Energy Auditor,"Wethersfield, Connecticut",,,,
Summer,2012,Healing Spirits Herb Farm,Apprentice,"Avoca, New York",,,,
Summer,2013,The Burning Tree,Gardener,"Otter Creek, Maine",,,,
Summer,1984,Summer Adventure Program,Intern,"Blue Hill, Maine",,,,
Summer,1982,Rocky Mountain Constructors,Intern,"Denver, Colorado",,,,
Fall,2001,Sam Blanchard,Sternman,"Seal Harbor, Maine",,,,
Winter,2004,Rocky Mann Studio Potter,Ceramic Assistant,"Bar Harbor, Maine",,,,
Summer,2019,Friends of Acadia,Wild Gardens of Acadia Intern,"Bar Harbor, Maine",,,,
Summer,1979,Beal and Bunker Boat,Natural History Guide,"Northeast Harbour, Maine",,,,
Summer,2009,Culton Organics,Farm Worker,"Lancaster, Pennsylvania",,,,
Winter,1991,Mount Desert Elementary School,Student teacher,"Northeast Harbour, Maine",,,,
Summer,2001,Portland Pottery,Studio Manager Assistant,"Portland, Maine",,,,
Summer,1995,University of Massachusetts Boston,Intern,"North Falmouth, Massachusetts",,,,
Summer,2021,College of the Atlantic,Islands Custodian,"Bar Harbor, Maine",,,,
Winter,2012,Downeast Sexual Assault Services,Sexual Assault Services Intern,"Ellsworth, Maine",,,,
Fall,2001,CBEARS,Wildlife Research Volenteer,"Haines, Alaska",,,,
Spring,1980,Mount Desert Island Fluoride Study,Intern,"Bar Harbor, Maine",,,,
Fall,2008,Bar Harbor Times,Photographer,"Bar Harbor, Maine",,,,
Summer,2020,Cottonwood Ranches,Foreman Assistant,"Daniel, Wyoming",,,,
Summer,1982,State of Maine Office of Energy Resources,Intern,"Augusta, Maine",,,,
Summer,2013,Sacha Goluboff,Research Assistant,"Lexington, Virginia",,,,
Summer,2005,Archipelago Books,Editorial & Development Assistant,"Brooklyn, New York, New York",,,,
Summer,2018,Mount Desert Island YMCA,Assistant Camp Director,"Bar Harbor, Maine",,,,
Summer,2016,Cultivating Community,Assistant to Youth Programs,"Portland, Maine",,,,
Winter,2020,Artisan Community of Uayma,Mayan Pottery Intern,"Uayma, Yucatan, Mexico",,,,
Fall,1985,National Museum of Natural History,Museum Technician,Washington D.C.,,,,
Fall,2010,Green Chimneys,Farm Intern,"Brewster, New York",,,,
Fall,1993,University of Pennsylvania,Intern,"Philadelphia, Pennsylvania",,,,
Summer,2009,Prescott College Sustainability Department,Intern,"Prescott, Arizona",,,,
Fall,1978,Ocean Park Environmental School,Teaching Staff Member,"Ocean Park, Maine",,,,
Winter,1984,OASIS,Intern,"Brighton, Massachusetts",,,,
Fall,2005,Preble Street Lighthouse Shelter,Intern,"Portland, Maine",,,,
Summer,2022,John Anderson,Research Assistant,"Bar Harbor, Maine",,,,
Summer,1980,Northport Veterans Administrative Hospital,Medical Research Assistant,"Northport, New York",,,,
Summer,1987,Maine Whalewatch,Intern,"Bar Harbor, Maine",,,,
Summer,1995,Two Loons Farm,Intern,"Vassalboro, Maine",,,,
Spring,2022,Atlantic Art Glass,Assistant Glassblower,Elsworth Maine,,,,
Spring,1999,American Tap Dance Orchestra,Adminstrative Assistant,"New York, New York",,,,
Winter,1991,Mt. Desert Pollution Control Facility,Operator,"Southeast Harbor, ME",,,,
Fall,2009,Sea Education Association,Intern,"Rockland, ME",,,,
Summer,1988,Allied Whale,Intern,"Bar Harbor, ME",,,,
Fall,1994,Acadia Wildlife Foundation,Intern,"Downeast, ME",,,,
Spring,1990,College of the Atlantic,Student Teacher,"Bar Harbor, ME",,,,
Summer,2002,Agricola Farms,Assistant Farm Manager,"Union, ME",,,,
Summer,1999,Forestry Commission,Field Assistant,"Gwaai, Zimbabwe",,,,
Summer,1982,St. Thomas Hospital,Intern,"Nashville, Tennessee",,,,
Summer,2018,Yellow Birch Farm,Farm Hand,"Deer Isle, Maine",,,,
Spring,1982,New Alchemy Institute,Intern,"Centerville, Massachusetts",,,,
Summer,2017,Teton Valley Ranch Camp,Full Season Driver,"Dubois, Wyoming",,,,
Summer,2013,John Muir Institute of the Environment,Staff Research Associate,"El Dorado National Forest, California",,,,
Summer,2014,The Field Museum,REU Intern,"Chicago, Illinois ",,,,
Summer,1991,E Magazine,Volunteer Intern,"Westport, Connecticut",,,,
Summer,1998,Back to the Wild,Intern,"Castalia, Ohio",,,,
Summer,1999,Bangor Theological Seminary,Intern,"Bangor, Maine",,,,
Summer,2007,Abundance Technologies Inc,Intern,"Cincinnati, Ohio",,,,
Winter,2008,Aquarium of the Pacific,Education Intern,"Long Beach, California",,,,
Fall,2008,Buckman Arts Focused Elementary School,Intern,"Portland, Oregon",,,,
Winter,2019,MDI Hospital,Rotational Intern,"Bar Harbor, Maine",,,,
Summer,2000,Peabody Essex Museum,Curator of Natural History,"Salem, Massachusetts",,,,
Spring,2007,Living Desert Zoo and Botanical Gardens,Zookeeper,"Palm Desert, California",,,,
Spring,2010,Common Good Soup Kitchen and Cafe,Intern,"Southwest Harbor, Maine",,,,
Summer,2022,Bar Harbor Historical Society,Cataloging Intern,"Bar Harbor, Maine",,,,
